p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
-1     0.006  SCOPA         -1.0          1.0           -1.0          0.668         1.831         0.001         0.683         1.828         0.001         0.979         0.003         0.001         50000.0       0.0           
0.0    0.006  BASICTOOL     -1.0          1.0           -1.0          0.775         -2.802        0.004         0.884         -1.387        0.004         0.882         -1.415        0.004         49452.0       0.0           
0.01   0.006  BASICTOOL     -1.0          1.0           -1.0          0.775         -2.802        0.004         0.884         -1.387        0.004         0.882         -1.415        0.004         49452.0       0.0           
0.02   0.006  BASICTOOL     -1.0          1.0           -1.0          0.819         -2.041        0.004         0.906         -1.029        0.003         0.906         -1.012        0.003         49452.0       0.0           
0.03   0.006  BASICTOOL     -1.0          1.0           -1.0          0.955         -0.242        0.002         0.978         -0.133        0.002         0.975         -0.109        0.001         49702.0       0.0           
0.04   0.006  BASICTOOL     -1.0          1.0           -1.0          0.918         -0.004        0.001         0.97          -0.052        0.001         0.946         0.048         0.001         49866.0       0.0           
0.05   0.006  BASICTOOL     -1.0          1.0           -1.0          0.834         0.561         0.001         0.941         0.182         0.001         0.89          0.379         0.0           49918.0       0.0           
0.06   0.006  BASICTOOL     -1.0          1.0           -1.0          0.709         1.394         0.001         0.82          0.928         0.001         0.884         0.466         0.0           49922.0       0.0           
0.07   0.006  BASICTOOL     -1.0          1.0           -1.0          0.434         3.059         0.001         0.548         2.475         0.001         0.873         0.584         0.001         49922.0       0.0           
0.08   0.006  BASICTOOL     -1.0          1.0           -1.0          0.281         4.136         0.001         0.39          3.438         0.001         0.865         0.698         0.001         49924.0       0.0           
0.09   0.006  BASICTOOL     -1.0          1.0           -1.0          0.162         5.119         0.001         0.29          4.108         0.001         0.833         1.011         0.001         49924.0       0.0           
0.1    0.006  BASICTOOL     -1.0          1.0           -1.0          0.066         6.027         0.001         0.192         4.754         0.001         0.806         1.273         0.001         49924.0       0.0           
-1     0.007  SCOPA         -1.0          1.0           0.0           0.665         1.816         0.001         0.68          1.818         0.001         0.978         -0.002        0.001         50000.0       0.0           
0.0    0.007  BASICTOOL     -1.0          1.0           -1.0          0.743         -3.204        0.004         0.866         -1.602        0.004         0.867         -1.601        0.004         49369.0       0.0           
0.01   0.007  BASICTOOL     -1.0          1.0           -1.0          0.743         -3.204        0.004         0.866         -1.602        0.004         0.867         -1.601        0.004         49369.0       0.0           
0.02   0.007  BASICTOOL     -1.0          1.0           -1.0          0.791         -2.363        0.004         0.891         -1.184        0.003         0.891         -1.179        0.003         49369.0       0.0           
0.03   0.007  BASICTOOL     -1.0          1.0           -1.0          0.945         -0.321        0.002         0.972         -0.174        0.002         0.971         -0.147        0.001         49651.0       0.0           
0.04   0.007  BASICTOOL     -1.0          1.0           -1.0          0.911         -0.075        0.001         0.966         -0.09         0.001         0.944         0.014         0.001         49870.0       0.0           
0.05   0.007  BASICTOOL     -1.0          1.0           -1.0          0.834         0.507         0.001         0.94          0.152         0.001         0.89          0.355         0.0           49926.0       0.0           
0.06   0.007  BASICTOOL     -1.0          1.0           -1.0          0.713         1.333         0.001         0.823         0.882         0.001         0.883         0.451         0.0           49930.0       0.0           
0.07   0.007  BASICTOOL     -1.0          1.0           -1.0          0.447         2.951         0.001         0.562         2.378         0.001         0.87          0.573         0.001         49930.0       0.0           
0.08   0.007  BASICTOOL     -1.0          1.0           -1.0          0.294         4.033         0.001         0.404         3.341         0.001         0.862         0.691         0.001         49931.0       0.0           
0.09   0.007  BASICTOOL     -1.0          1.0           -1.0          0.172         5.025         0.001         0.298         4.041         0.001         0.834         0.984         0.001         49932.0       0.0           
0.1    0.007  BASICTOOL     -1.0          1.0           -1.0          0.074         5.951         0.001         0.197         4.699         0.001         0.807         1.252         0.001         49932.0       0.0           
-1     0.008  SCOPA         -1.0          1.0           0.0           0.662         1.806         0.001         0.68          1.815         0.001         0.974         -0.009        0.001         49999.0       0.0           
0.0    0.008  BASICTOOL     -1.0          1.0           -1.0          0.712         -3.679        0.005         0.851         -1.812        0.004         0.848         -1.867        0.004         49222.0       0.0           
0.01   0.008  BASICTOOL     -1.0          1.0           -1.0          0.712         -3.679        0.005         0.851         -1.812        0.004         0.848         -1.867        0.004         49222.0       0.0           
0.02   0.008  BASICTOOL     -1.0          1.0           -1.0          0.765         -2.714        0.004         0.878         -1.334        0.003         0.876         -1.379        0.003         49222.0       0.0           
0.03   0.008  BASICTOOL     -1.0          1.0           -1.0          0.935         -0.41         0.002         0.967         -0.224        0.002         0.965         -0.185        0.002         49558.0       0.0           
0.04   0.008  BASICTOOL     -1.0          1.0           -1.0          0.902         -0.159        0.001         0.961         -0.136        0.001         0.939         -0.023        0.001         49843.0       0.0           
0.05   0.008  BASICTOOL     -1.0          1.0           -1.0          0.833         0.428         0.001         0.94          0.11          0.001         0.89          0.317         0.0           49930.0       0.0           
0.06   0.008  BASICTOOL     -1.0          1.0           -1.0          0.718         1.254         0.001         0.828         0.829         0.001         0.883         0.425         0.0           49938.0       0.0           
