p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.04   0.004  BASICTOOL     -1.0          1.0           0.0           0.954         -0.073        0.002         0.974         -0.367        0.015         0.972         0.294         0.014         25142.0       0.0           
0.05   0.004  BASICTOOL     -1.0          1.0           0.0           0.927         0.045         0.002         0.96          -0.787        0.021         0.943         0.832         0.016         26328.0       0.0           
0.06   0.004  BASICTOOL     -1.0          1.0           0.0           0.893         0.237         0.001         0.961         -0.782        0.022         0.908         1.019         0.01          26328.0       0.0           
0.07   0.004  BASICTOOL     -1.0          1.0           0.0           0.881         0.374         0.002         0.956         -0.913        0.023         0.896         1.286         0.012         26333.0       0.0           
0.08   0.004  BASICTOOL     -1.0          1.0           0.0           0.851         0.653         0.002         0.956         -0.914        0.023         0.866         1.567         0.01          26341.0       0.0           
0.09   0.004  BASICTOOL     -1.0          1.0           0.0           0.804         1.174         0.003         0.96          -0.778        0.021         0.818         1.951         0.008         26728.0       0.0           
0.1    0.004  BASICTOOL     -1.0          1.0           0.0           0.766         1.537         0.003         0.957         -0.89         0.022         0.78          2.427         0.008         27446.0       0.0           
-1     0.005  SCOPA         -1.0          1.0           0.0           0.716         0.261         0.002         0.772         -4.226        0.014         0.823         4.487         0.015         56000.0       0.0           
0.0    0.005  BASICTOOL     -1.0          1.0           0.0           0.911         -0.72         0.006         0.945         -0.69         0.012         0.955         -0.03         0.014         24453.0       0.0           
0.01   0.005  BASICTOOL     -1.0          1.0           0.0           0.911         -0.72         0.006         0.945         -0.69         0.012         0.955         -0.03         0.014         24453.0       0.0           
0.02   0.005  BASICTOOL     -1.0          1.0           0.0           0.924         -0.458        0.004         0.953         -0.569        0.011         0.96          0.111         0.013         24453.0       0.0           
0.03   0.005  BASICTOOL     -1.0          1.0           0.0           0.94          -0.245        0.002         0.962         -0.459        0.012         0.968         0.214         0.014         24490.0       0.0           
0.04   0.005  BASICTOOL     -1.0          1.0           0.0           0.95          -0.097        0.002         0.971         -0.396        0.015         0.969         0.3           0.013         24895.0       0.0           
0.05   0.005  BASICTOOL     -1.0          1.0           0.0           0.921         0.015         0.002         0.957         -0.811        0.021         0.94          0.826         0.015         26293.0       0.0           
0.06   0.005  BASICTOOL     -1.0          1.0           0.0           0.889         0.209         0.001         0.958         -0.805        0.021         0.906         1.014         0.01          26293.0       0.0           
0.07   0.005  BASICTOOL     -1.0          1.0           0.0           0.878         0.354         0.002         0.954         -0.922        0.022         0.895         1.276         0.012         26299.0       0.0           
0.08   0.005  BASICTOOL     -1.0          1.0           0.0           0.85          0.627         0.002         0.954         -0.921        0.022         0.865         1.548         0.01          26313.0       0.0           
0.09   0.005  BASICTOOL     -1.0          1.0           0.0           0.802         1.145         0.003         0.959         -0.788        0.02          0.818         1.933         0.008         26697.0       0.0           
0.1    0.005  BASICTOOL     -1.0          1.0           0.0           0.765         1.51          0.003         0.955         -0.899        0.021         0.779         2.409         0.008         27429.0       0.0           
-1     0.006  SCOPA         -1.0          1.0           0.0           0.709         0.41          0.002         0.77          -4.157        0.014         0.818         4.567         0.015         55904.0       0.0           
0.0    0.006  BASICTOOL     -1.0          1.0           0.0           0.893         -0.881        0.006         0.935         -0.774        0.011         0.946         -0.107        0.012         24159.0       0.0           
0.01   0.006  BASICTOOL     -1.0          1.0           0.0           0.893         -0.881        0.006         0.935         -0.774        0.011         0.946         -0.107        0.012         24159.0       0.0           
0.02   0.006  BASICTOOL     -1.0          1.0           0.0           0.909         -0.569        0.004         0.945         -0.625        0.01          0.953         0.057         0.012         24159.0       0.0           
0.03   0.006  BASICTOOL     -1.0          1.0           0.0           0.928         -0.302        0.002         0.955         -0.493        0.011         0.962         0.191         0.012         24195.0       0.0           
0.04   0.006  BASICTOOL     -1.0          1.0           0.0           0.942         -0.117        0.002         0.966         -0.409        0.013         0.966         0.292         0.012         24724.0       0.0           
0.05   0.006  BASICTOOL     -1.0          1.0           0.0           0.915         0.0           0.001         0.953         -0.817        0.019         0.938         0.817         0.015         26300.0       0.0           
0.06   0.006  BASICTOOL     -1.0          1.0           0.0           0.884         0.186         0.001         0.953         -0.814        0.019         0.906         1.0           0.01          26303.0       0.0           
0.07   0.006  BASICTOOL     -1.0          1.0           0.0           0.873         0.32          0.002         0.949         -0.935        0.02          0.895         1.256         0.012         26308.0       0.0           
0.08   0.006  BASICTOOL     -1.0          1.0           0.0           0.844         0.599         0.002         0.949         -0.934        0.02          0.865         1.532         0.01          26334.0       0.0           
0.09   0.006  BASICTOOL     -1.0          1.0           0.0           0.798         1.105         0.003         0.953         -0.809        0.018         0.818         1.914         0.008         26730.0       0.0           
0.1    0.006  BASICTOOL     -1.0          1.0           0.0           0.761         1.458         0.003         0.949         -0.921        0.019         0.78          2.379         0.008         27466.0       0.0           
-1     0.007  SCOPA         -1.0          1.0           0.0           0.708         0.556         0.002         0.774         -3.895        0.013         0.82          4.451         0.015         55503.0       0.0           
0.0    0.007  BASICTOOL     -1.0          1.0           0.0           0.877         -1.013        0.006         0.925         -0.864        0.01          0.94          -0.149        0.012         23995.0       0.0           
0.01   0.007  BASICTOOL     -1.0          1.0           0.0           0.877         -1.013        0.006         0.925         -0.864        0.01          0.94          -0.149        0.012         23995.0       0.0           
0.02   0.007  BASICTOOL     -1.0          1.0           0.0           0.896         -0.665        0.004         0.936         -0.7          0.01          0.948         0.034         0.011         23995.0       0.0           
0.03   0.007  BASICTOOL     -1.0          1.0           0.0           0.917         -0.373        0.003         0.947         -0.55         0.01          0.959         0.177         0.012         24036.0       0.0           
0.04   0.007  BASICTOOL     -1.0          1.0           0.0           0.934         -0.151        0.002         0.961         -0.444        0.012         0.964         0.293         0.012         24567.0       0.0           
0.05   0.007  BASICTOOL     -1.0          1.0           0.0           0.909         -0.034        0.002         0.948         -0.854        0.017         0.935         0.82          0.014         26363.0       0.0           
