p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.08   0.012  BASICTOOL     -1.0          1.0           -1.0          0.855         0.543         0.001         0.885         0.53          0.001         0.965         0.013         0.001         49998.0       0.0           
0.09   0.012  BASICTOOL     -1.0          1.0           -1.0          0.819         0.852         0.001         0.85          0.824         0.001         0.964         0.028         0.0           49999.0       0.0           
0.1    0.012  BASICTOOL     -1.0          1.0           0.0           0.783         1.232         0.001         0.815         1.183         0.001         0.961         0.049         0.0           50000.0       0.0           
-1     0.013000000000000001SCOPA         -1.0          1.0           -1.0          0.916         -0.178        0.001         0.954         -2.43         0.321         0.953         2.252         0.322         50000.0       0.0           
0.0    0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.541         -6.939        0.006         0.75          -3.43         0.006         0.747         -3.509        0.006         49063.0       0.0           
0.01   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.541         -6.939        0.006         0.75          -3.43         0.006         0.747         -3.509        0.006         49063.0       0.0           
0.02   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.64          -4.843        0.005         0.804         -2.387        0.004         0.802         -2.456        0.005         49063.0       0.0           
0.03   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.86          -1.185        0.003         0.927         -0.572        0.003         0.925         -0.613        0.003         49336.0       0.0           
0.04   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.871         -0.855        0.002         0.932         -0.401        0.002         0.933         -0.454        0.002         49890.0       0.0           
0.05   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.918         -0.257        0.001         0.953         -0.101        0.001         0.962         -0.156        0.001         49991.0       0.0           
0.06   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.916         -0.092        0.001         0.95          -0.011        0.001         0.963         -0.08         0.001         49993.0       0.0           
0.07   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.894         0.183         0.0           0.924         0.215         0.0           0.966         -0.031        0.0           49995.0       0.0           
0.08   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.853         0.516         0.001         0.885         0.519         0.001         0.961         -0.003        0.0           49999.0       0.0           
0.09   0.013000000000000001BASICTOOL     -1.0          1.0           -1.0          0.818         0.816         0.001         0.851         0.795         0.001         0.961         0.021         0.0           49999.0       0.0           
0.1    0.013000000000000001BASICTOOL     -1.0          1.0           0.0           0.782         1.194         0.001         0.816         1.153         0.001         0.958         0.041         0.0           50000.0       0.0           
-1     0.014  SCOPA         -1.0          1.0           -1.0          0.909         -0.192        0.001         0.95          -2.435        0.298         0.949         2.243         0.299         50000.0       0.0           
0.0    0.014  BASICTOOL     -1.0          1.0           -1.0          0.519         -7.366        0.007         0.74          -3.593        0.006         0.73          -3.773        0.006         48890.0       0.0           
0.01   0.014  BASICTOOL     -1.0          1.0           -1.0          0.519         -7.366        0.007         0.74          -3.593        0.006         0.73          -3.773        0.006         48890.0       0.0           
0.02   0.014  BASICTOOL     -1.0          1.0           -1.0          0.618         -5.215        0.005         0.794         -2.55         0.004         0.785         -2.665        0.005         48890.0       0.0           
0.03   0.014  BASICTOOL     -1.0          1.0           -1.0          0.842         -1.332        0.003         0.917         -0.652        0.003         0.916         -0.68         0.003         49176.0       0.0           
0.04   0.014  BASICTOOL     -1.0          1.0           -1.0          0.856         -0.962        0.002         0.924         -0.457        0.002         0.925         -0.505        0.002         49840.0       0.0           
0.05   0.014  BASICTOOL     -1.0          1.0           0.0           0.908         -0.304        0.001         0.947         -0.125        0.001         0.957         -0.179        0.001         49984.0       0.0           
0.06   0.014  BASICTOOL     -1.0          1.0           0.0           0.907         -0.129        0.001         0.946         -0.025        0.001         0.959         -0.103        0.001         49985.0       0.0           
