p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.07   0.004  BASICTOOL     -1.0          1.0           -1.0          0.423         -5.068        0.025         0.528         -7.142        0.105         0.84          2.074         0.144         9856.0        0.0           
0.08   0.004  BASICTOOL     -1.0          1.0           -1.0          0.396         -4.691        0.024         0.516         -7.021        0.103         0.813         2.33          0.124         9856.0        0.0           
0.09   0.004  BASICTOOL     -1.0          1.0           -1.0          0.363         -4.607        0.023         0.496         -9.651        0.181         0.754         5.044         0.226         10054.0       0.0           
0.1    0.004  BASICTOOL     -1.0          1.0           0.0           0.319         -4.611        0.026         0.485         -11.603       0.24          0.69          6.993         0.233         10257.0       0.0           
-1     0.005  SCOPA         -1.0          1.0           0.0           0.97          -0.187        0.003         0.986         -1.236        0.508         0.98          1.05          0.297         49900.0       0.0           
0.0    0.005  BASICTOOL     -1.0          1.0           -1.0          0.433         -8.412        0.031         0.483         -8.654        0.085         0.91          0.242         0.22          10570.0       0.0           
0.01   0.005  BASICTOOL     -1.0          1.0           -1.0          0.433         -8.412        0.031         0.483         -8.654        0.085         0.91          0.242         0.22          10570.0       0.0           
0.02   0.005  BASICTOOL     -1.0          1.0           -1.0          0.441         -7.935        0.029         0.49          -8.445        0.085         0.915         0.509         0.227         10570.0       0.0           
0.03   0.005  BASICTOOL     -1.0          1.0           -1.0          0.498         -6.635        0.028         0.526         -7.838        0.088         0.947         1.202         0.346         10609.0       0.0           
0.04   0.005  BASICTOOL     -1.0          1.0           -1.0          0.461         -6.435        0.025         0.507         -7.807        0.084         0.927         1.372         0.247         10727.0       0.0           
0.05   0.005  BASICTOOL     -1.0          1.0           -1.0          0.447         -6.36         0.025         0.499         -7.83         0.082         0.913         1.47          0.203         10814.0       0.0           
0.06   0.005  BASICTOOL     -1.0          1.0           -1.0          0.43          -6.168        0.024         0.49          -7.764        0.08          0.894         1.595         0.167         10815.0       0.0           
0.07   0.005  BASICTOOL     -1.0          1.0           -1.0          0.388         -5.813        0.022         0.482         -7.655        0.079         0.846         1.842         0.116         10815.0       0.0           
0.08   0.005  BASICTOOL     -1.0          1.0           -1.0          0.362         -5.455        0.022         0.47          -7.532        0.078         0.818         2.077         0.099         10818.0       0.0           
0.09   0.005  BASICTOOL     -1.0          1.0           -1.0          0.332         -5.35         0.021         0.452         -9.947        0.139         0.764         4.597         0.192         11021.0       0.0           
0.1    0.005  BASICTOOL     -1.0          1.0           -1.0          0.294         -5.262        0.023         0.442         -11.556       0.18          0.701         6.294         0.194         11216.0       0.0           
-1     0.006  SCOPA         -1.0          1.0           0.0           0.966         -0.197        0.003         0.983         -1.242        0.442         0.978         1.045         0.27          49900.0       0.0           
0.0    0.006  BASICTOOL     -1.0          1.0           -1.0          0.38          -9.357        0.029         0.435         -9.411        0.074         0.898         0.053         0.179         11525.0       0.0           
0.01   0.006  BASICTOOL     -1.0          1.0           -1.0          0.38          -9.357        0.029         0.435         -9.411        0.074         0.898         0.053         0.179         11525.0       0.0           
0.02   0.006  BASICTOOL     -1.0          1.0           -1.0          0.392         -8.864        0.028         0.445         -9.204        0.074         0.906         0.339         0.188         11525.0       0.0           
0.03   0.006  BASICTOOL     -1.0          1.0           -1.0          0.454         -7.394        0.026         0.481         -8.516        0.076         0.946         1.122         0.307         11575.0       0.0           
0.04   0.006  BASICTOOL     -1.0          1.0           -1.0          0.42          -7.168        0.024         0.463         -8.447        0.071         0.929         1.279         0.225         11737.0       0.0           
0.05   0.006  BASICTOOL     -1.0          1.0           -1.0          0.407         -7.118        0.023         0.455         -8.519        0.07          0.914         1.401         0.182         11874.0       0.0           
0.06   0.006  BASICTOOL     -1.0          1.0           -1.0          0.389         -6.91         0.023         0.445         -8.437        0.068         0.894         1.527         0.148         11875.0       0.0           
0.07   0.006  BASICTOOL     -1.0          1.0           -1.0          0.352         -6.551        0.021         0.438         -8.331        0.068         0.848         1.78          0.104         11877.0       0.0           
0.08   0.006  BASICTOOL     -1.0          1.0           -1.0          0.33          -6.228        0.021         0.427         -8.231        0.066         0.823         2.003         0.09          11884.0       0.0           
