p    e    name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.1            0.06           BASICTOOL     -1.0          0.997         1.0           0.544         -0.258        0.001         0.731         -0.036        0.001         0.748         -0.221        0.001         47600.0       0.0           
0.15           0.06           BASICTOOL     -1.0          1.0           1.0           0.357         3.829         0.001         0.557         2.745         0.001         0.692         1.084         0.001         47600.0       0.0           
0.2            0.06           BASICTOOL     -1.0          1.0           1.0           0.163         9.685         0.004         0.318         7.583         0.003         0.656         2.102         0.002         47600.0       0.0           
0.25           0.06           BASICTOOL     -1.0          1.0           1.0           0.066         15.582        0.007         0.173         12.194        0.005         0.599         3.388         0.003         47600.0       0.0           
0.3            0.06           BASICTOOL     -1.0          1.0           0.999         0.037         20.644        0.011         0.08          16.758        0.009         0.575         3.886         0.003         47600.0       0.0           
0.35           0.06           BASICTOOL     -1.0          1.0           0.994         0.016         27.183        0.019         0.028         23.214        0.015         0.572         3.969         0.003         47600.0       0.0           
0.4            0.06           BASICTOOL     -1.0          1.0           0.981         0.009         35.299        0.033         0.012         31.215        0.027         0.564         4.083         0.003         47600.0       0.0           
0.45           0.06           BASICTOOL     -1.0          1.0           0.941         0.007         46.77         0.058         0.009         42.713        0.051         0.565         4.057         0.003         47600.0       0.0           
0.5            0.06           BASICTOOL     -1.0          1.0           0.819         0.005         65.759        0.11          0.006         61.633        0.099         0.557         4.126         0.003         47600.0       0.0           
0.55           0.06           BASICTOOL     -1.0          1.0           0.662         0.004         89.197        0.203         0.004         85.265        0.191         0.537         3.932         0.01          47600.0       0.0           
-1             0.07           SCOPA         -1.0          1.0           1.0           0.647         -0.95         0.0           0.804         -0.476        0.0           0.805         -0.475        0.0           47600.0       0.0           
0.05           0.07           BASICTOOL     -1.0          0.941         1.0           0.306         -10.663       0.008         0.555         -5.146        0.005         0.546         -5.517        0.005         47600.0       0.0           
