p      e      name          run_time      sens          spec          pct_crt       avg_trim      SoS_trim      pct_crt_left  avg_left      SoS_left      pct_crt_right avg_right     SoS_right     total_polyA   num_split     
0.05   0.004  BASICTOOL     -1.0          1.0           0.0           0.97          0.036         0.0           0.977         0.051         0.0           0.993         -0.016        0.0           39587.0       0.0           
0.06   0.004  BASICTOOL     -1.0          1.0           0.0           0.954         0.139         0.001         0.965         0.126         0.001         0.989         0.013         0.0           39587.0       0.0           
0.07   0.004  BASICTOOL     -1.0          1.0           0.0           0.923         0.324         0.001         0.94          0.269         0.001         0.982         0.055         0.001         39587.0       0.0           
0.08   0.004  BASICTOOL     -1.0          1.0           0.0           0.903         0.451         0.001         0.925         0.369         0.001         0.977         0.082         0.001         39603.0       0.0           
0.09   0.004  BASICTOOL     -1.0          1.0           0.0           0.878         0.665         0.001         0.903         0.566         0.001         0.974         0.1           0.001         39803.0       0.0           
0.1    0.004  BASICTOOL     -1.0          1.0           0.0           0.838         0.92          0.001         0.876         0.736         0.001         0.958         0.184         0.001         40572.0       0.0           
-1     0.005  SCOPA         -1.0          1.0           0.0           0.969         0.127         0.005         0.982         0.153         0.009         0.987         -0.025        0.0           46706.0       0.0           
0.0    0.005  BASICTOOL     -1.0          1.0           -1.0          0.903         -1.034        0.005         0.951         -0.508        0.005         0.949         -0.526        0.005         37513.0       0.0           
0.01   0.005  BASICTOOL     -1.0          1.0           -1.0          0.903         -1.034        0.005         0.951         -0.508        0.005         0.949         -0.526        0.005         37513.0       0.0           
0.02   0.005  BASICTOOL     -1.0          1.0           -1.0          0.935         -0.513        0.003         0.967         -0.251        0.003         0.966         -0.263        0.003         37513.0       0.0           
0.03   0.005  BASICTOOL     -1.0          1.0           -1.0          0.958         -0.187        0.001         0.979         -0.088        0.001         0.978         -0.099        0.001         37546.0       0.0           
0.04   0.005  BASICTOOL     -1.0          1.0           -1.0          0.966         -0.028        0.0           0.978         0.008         0.0           0.987         -0.036        0.001         38310.0       0.0           
0.05   0.005  BASICTOOL     -1.0          1.0           0.0           0.965         0.02          0.0           0.975         0.041         0.0           0.989         -0.022        0.0           39536.0       0.0           
0.06   0.005  BASICTOOL     -1.0          1.0           0.0           0.95          0.121         0.0           0.963         0.116         0.001         0.986         0.005         0.0           39536.0       0.0           
